acentos	dibujosfaciles	queprefieres	pelis	probable	preguntac	situacionese
portugués	rayo	¿Qué prefieres, que tu madre elija a tu próxima pareja o tus amigos?	Jurassic Park	olvide el nombre de alguien con quien lleva hablando media hora		irte de viaje de mochilero durante un mes con un presupuesto miserable
francés	triángulo	¿Qué prefieres, no volver a besar nunca o no volver a abrazar nunca?	Regreso al Futuro	adopte cinco animales de golpe en un ataque de impulsividad		que te cubra las espaldas y te sirva de coartada en una mentira gigante a tu familia
italiano	mariposa	¿Qué prefieres, una pareja perfecta pero aburrida o una caótica pero divertidísima?	Matrix	sobreviva a un apocalipsis zombie, pero solo por pura suerte		que te aguante la cabeza en el baño después de la peor borrachera de tu vida
japonés	muñeco de nieve	¿Qué prefieres, que tu ex encuentre al amor de su vida mañana o que no lo encuentre nunca?	Origen	se ría a carcajadas en el peor momento posible (como un funeral o examen)		que te acompañe a colarte en la boda de tu ex para boicotearla
	pene	¿Qué prefieres, que la persona que te gusta sepa todo sobre ti o que tú sepas todo sobre ella?	Interstellar	sea abducido por extraterrestres y decida quedarse con ellos		intentar escapar de una sala de escape donde os jugáis la vida
		¿Qué prefieres, salir con alguien mucho más mayor o mucho más joven (siempre siendo ambos adultos)?	Gladiator			hacer un viaje en coche de 10 horas seguidas sin radio ni música
		¿Qué prefieres, enamorarte de alguien que vive a 1.000 km o de alguien que se muda en un mes?	Braveheart			que te ayude a mudarte de un cuarto piso sin ascensor en pleno agosto
		¿Qué prefieres, no volver a tener citas o tener una cita desastrosa cada semana?	El Rey León			abrir una cuenta bancaria conjunta a medias
		¿Qué prefieres, que alguien de la mesa elija tu próxima cita o tu próximo corte de pelo?	Toy Story			que organice tu despedida de soltero/a sin que tú puedas vetar ninguna idea
		¿Qué prefieres, que tu pareja tenga muchísimos ex o ninguno?	Buscando a Nemo			operarte a vida o muerte si fuesen los únicos cirujanos disponibles en el mundo
		¿Qué prefieres, que todos vean tu historial de búsquedas o tus mensajes privados?	Monstruos S.A.			
		¿Qué prefieres, enseñar la última foto de tu galería o el último selfie que borraste?	Up			
		¿Qué prefieres, que se proyecte tu carrete en la tele o tus audios de WhatsApp?	Del Revés (Inside Out)			
		¿Qué prefieres, que tus padres lean tus conversaciones o que tus amigos lean las conversaciones con tus padres?	Coco			
		¿Qué prefieres, olvidar cerrar el baño o tropezarte delante de toda la discoteca?	Shrek			
		¿Qué prefieres, enviar un mensaje vergonzoso a la persona equivocada o darle like a una foto de hace 8 años?	Frozen			
		¿Qué prefieres, que todos sepan tu mayor vergüenza o tu mayor miedo?	Los Increíbles			
		¿Qué prefieres, tener que llevar un disfraz ridículo una semana o raparte una ceja?	Ratatouille			
		¿Qué prefieres, hablar con voz de dibujo animado un día o caminar hacia atrás un día?	Wall·E			
		¿Qué prefieres, que alguien elija tu ropa durante un mes o tu peinado?	Piratas del Caribe: La Maldición de la Perla Negra			
		¿Qué prefieres, tener 10 millones de euros pero no volver a enamorarte o enamorarte de verdad pero vivir con lo justo?	Vengadores: Endgame			
		¿Qué prefieres, ser increíblemente atractivo o increíblemente gracioso?	Iron Man			
		¿Qué prefieres, saber siempre cuándo te mienten o que nunca puedan mentirte?	Spider-Man			
		¿Qué prefieres, poder borrar un recuerdo o revivir uno una vez al año?	Joker			
		¿Qué prefieres, vivir 20 años más o vivir esos años siendo millonario?	Deadpool			
		¿Qué prefieres, poder leer la mente durante un minuto al día o ser invisible durante un minuto al día?	Logan			
		¿Qué prefieres, ganar siempre las discusiones o caerle bien a todo el mundo?	Rocky			
		¿Qué prefieres, no volver a sentir vergüenza o no volver a sentir miedo?	Rambo: Acorralado			
		¿Qué prefieres, saber quién ha sentido algo por ti o quién te tiene envidia?	Terminator			
		¿Qué prefieres, no ducharte en una semana o no cambiarte de ropa en una semana?	Alien, el octavo pasajero			
		¿Qué prefieres, tirarte un pedo en una cita o eructar en una entrevista de trabajo?	Depredador			
		¿Qué prefieres, tener un grano enorme el día de una boda o el día de una entrevista?	Indiana Jones y En busca del Arca Perdida			
		¿Qué prefieres, que siempre se te pegue la comida a los dientes o tener siempre mal aliento?	E.T. el Extraterrestre			
		¿Qué prefieres, tener que cantar cada vez que hablas por teléfono o bailar cada vez que alguien diga tu nombre?	Tiburón			
		¿Qué prefieres, quedarte encerrado en un ascensor con tu ex o con tu jefe?	Psicosis			
		¿Qué prefieres, dormir con 100 mosquitos o con una araña enorme en la habitación?	El Resplandor			
		¿Qué prefieres, llevar Crocs a una boda o tacones todo un día?	El Silencio de los Corderos			
		¿Qué prefieres, comer siempre con cuchara o siempre con palillos?	La Lista de Schindler			
		¿Qué prefieres, no volver a usar almohada o no volver a usar manta?	Salvar al Soldado Ryan			
		¿Qué prefieres, descubrir quién ha hablado peor de ti o quién ha estado enamorado de ti?	La Vida es Bella			
		¿Qué prefieres, que alguien de esta mesa elija una cita para ti o tus vacaciones?	El Club de la Lucha			
		¿Qué prefieres, intercambiar el móvil con la persona de tu derecha o con la de tu izquierda durante una hora?	El Lobo de Wall Street			
		¿Qué prefieres, que alguien de esta mesa responda por ti a todos tus mensajes durante un día o publique una foto en tu Instagram?	El Show de Truman			
		¿Qué prefieres, que la persona de enfrente te describa con tres palabras o que lo haga tu ex?	American Beauty			
		¿Qué prefieres, que todos sepan tu mayor mentira o tu mayor metedura de pata?	Los Intocables			
		¿Qué prefieres, estar una semana sin espejo o una semana sin móvil?	Uno de los Nuestros			
		¿Qué prefieres, tener que decir siempre la verdad o responder "sin comentarios" a todo?	Érase una vez en América			
		¿Qué prefieres, ser incapaz de guardar un secreto o no poder contar ninguno?	Casablanca			
		¿Qué prefieres, que todo el mundo recuerde tu peor borrachera o tu peor rechazo?	Ciudadano Kane			
		¿Qué prefieres, que alguien de la mesa elija tu próxima cita o tu próximo corte de pelo?	Lo que el Viento se Llevó			
		¿Qué prefieres, que tu pareja tenga muchísimos ex o ninguno?	Ben-Hur			
		¿Qué prefieres, que todos vean tu historial de búsquedas o tus mensajes privados?	2001: Una Odisea del Espacio			
		¿Qué prefieres, enseñar la última foto de tu galería o el último selfie que borraste?	El Bueno, el Feo y el Malo			
		¿Qué prefieres, que se proyecte tu carrete en la tele o tus audios de WhatsApp?	Amélie			
		¿Qué prefieres, que tus padres lean tus conversaciones o que tus amigos lean las conversaciones con tus padres?	Cinema Paradiso			
		¿Qué prefieres, olvidar cerrar el baño o tropezarte delante de toda la discoteca?	La La Land			
		¿Qué prefieres, enviar un mensaje vergonzoso a la persona equivocada o darle like a una foto de hace 8 años?	Whiplash			
		¿Qué prefieres, que todos sepan tu mayor vergüenza o tu mayor miedo?	Parásitos			
		¿Qué prefieres, tener que llevar un disfraz ridículo una semana o raparte una ceja?	El Pianista			
		¿Qué prefieres, hablar con voz de dibujo animado un día o caminar hacia atrás un día?	El Gran Hotel Budapest			
		¿Qué prefieres, que alguien elija tu ropa durante un mes o tu peinado?	El Gran Lebowski			
		¿Qué prefieres, tener 10 millones de euros pero no volver a enamorarte o enamorarte de verdad pero vivir con lo justo?	Seven			
		¿Qué prefieres, ser increíblemente atractivo o increíblemente gracioso?	El Curioso Caso de Benjamin Button			
		¿Qué prefieres, saber siempre cuándo te mienten o que nunca puedan mentirte?	Django Desencadenado			
		¿Qué prefieres, poder borrar un recuerdo o revivir uno una vez al año?	Kill Bill			
		¿Qué prefieres, vivir 20 años más o vivir esos años siendo millonario?	Blade Runner			
		¿Qué prefieres, poder leer la mente durante un minuto al día o ser invisible durante un minuto al día?	El Quinto Elemento			
		¿Qué prefieres, ganar siempre las discusiones o caerle bien a todo el mundo?	La Naranja Mecánica			
		¿Qué prefieres, no volver a sentir vergüenza o no volver a sentir miedo?	El Exorcista			
		¿Qué prefieres, saber quién ha sentido algo por ti o quién te tiene envidia?	Misión Imposible			
		¿Qué prefieres, no ducharte en una semana o no cambiarte de ropa en una semana?	James Bond: Skyfall			
		¿Qué prefieres, tirarte un pedo en una cita o eructar en una entrevista de trabajo?	Top Gun			
		¿Qué prefieres, tener un grano enorme el día de una boda o el día de una entrevista?	Ghost			
		¿Qué prefieres, que siempre se te pegue la comida a los dientes o tener siempre mal aliento?	Dirty Dancing			
		¿Qué prefieres, tener que cantar cada vez que hablas por teléfono o bailar cada vez que alguien diga tu nombre?	Grease			
		¿Qué prefieres, quedarte encerrado en un ascensor con tu ex o con tu jefe?	Mamma Mia!			
		¿Qué prefieres, dormir con 100 mosquitos o con una araña enorme en la habitación?	Cantando bajo la lluvia			
		¿Qué prefieres, llevar Crocs a una boda o tacones todo un día?	Sonrisas y lágrimas			
		¿Qué prefieres, comer siempre con cuchara o siempre con palillos?	El Diario de Noa			
		¿Qué prefieres, no volver a usar almohada o no volver a usar manta?	El Código Da Vinci			
		¿Qué prefieres, descubrir quién ha hablado peor de ti o quién ha estado enamorado de ti?	Náufrago			
		¿Qué prefieres, que alguien de esta mesa elija una cita para ti o tus vacaciones?	El Profesional (Léon)			
		¿Qué prefieres, intercambiar el móvil con la persona de tu derecha o con la de tu izquierda durante una hora?	Trainspotting			
		¿Qué prefieres, que alguien de esta mesa responda por ti a todos tus mensajes durante un día o publique una foto en tu Instagram?	Réquiem por un sueño			
		¿Qué prefieres, que la persona de enfrente te describa con tres palabras o que lo haga tu ex?	El Maquinista			
		¿Qué prefieres, que todos sepan tu mayor mentira o tu mayor metedura de pata?	Donnie Darko			
		¿Qué prefieres, estar una semana sin espejo o una semana sin móvil?	Her			
		¿Qué prefieres, tener que decir siempre la verdad o responder "sin comentarios" a todo?	El Discurso del Rey			
		¿Qué prefieres, ser incapaz de guardar un secreto o no poder contar ninguno?	Bohemian Rhapsody			
		¿Qué prefieres, que todo el mundo recuerde tu peor borrachera o tu peor rechazo?	Intocable			
		¿Qué prefieres, una pisha o una tortilla de patatas?	El Hoyo			
